Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Clobetasolpropionaat ERC 0,5 mg/g zalf;CLOBETASOL;0,5 mg/g;Zalf;CLOBETASOL - 0,5 mg/g - Zalf
Clobetasolpropionaat Eureco-Pharma, zalf, 0,5 mg/g;CLOBETASOL;0,5 mg/g;Zalf;CLOBETASOL - 0,5 mg/g - Zalf
Seretide Diskus 50 microgram/250 microgram/dosis - inhalatiepoeder, voorverdeeld;FLUTICASON/SALMETEROL;50 mcg/250 mcg/dosis;Inhalatiepoeder;FLUTICASON/SALMETEROL - 50 mcg/250 mcg/dosis - Inhalatiepoeder
Bactroban Huidzalf 2%, hydrofiele zalf 20 mg/g;MUPIROCINE;2%;Zalf;MUPIROCINE - 2% - Zalf
Indapamide Aurobindo 2,5 mg, omhulde tabletten;INDAPAMIDE;2,5 mg;Omhulde tablet;INDAPAMIDE - 2,5 mg - Omhulde tablet
Imigran FTAB 50, dispergeerbare tabletten 50 mg;SUMATRIPTAN;50 mg;Dispergeerbare tablet;SUMATRIPTAN - 50 mg - Dispergeerbare tablet
Imigran FTAB 50 mg, dispergeerbare tabletten;SUMATRIPTAN;50 mg;Dispergeerbare tablet;SUMATRIPTAN - 50 mg - Dispergeerbare tablet
Zocor 20 mg filmomhulde tabletten;SIMVASTATINE;20 mg;Filmomhulde tablet;SIMVASTATINE - 20 mg - Filmomhulde tablet
MS Contin 30 mg, tabletten met verlengde afgifte;MORFINE;30 mg;Tablet met verlengde afgifte;MORFINE - 30 mg - Tablet met verlengde afgifte
Trileptal 60 mg/ml, suspensie voor oraal gebruik;OXCARBAZEPINE;60 mg/ml;Suspensie voor oraal gebruik;OXCARBAZEPINE - 60 mg/ml - Suspensie voor oraal gebruik
Prograft 0,5 mg, harde capsules;TACROLIMUS;0,5 mg;Capsule;TACROLIMUS - 0,5 mg - Capsule
Prograft 0,5 mg capsules, hard;TACROLIMUS;0,5 mg;Capsule;TACROLIMUS - 0,5 mg - Capsule
Tobramycine Steri-Neb 300 mg/5 ml, verneveloplossing;TOBRAMYCINE;300 mg/5 ml;Verneveloplossing;TOBRAMYCINE - 300 mg/5 ml - Verneveloplossing
Locoid Crelo, emulsie voor cutaan gebruik 1 mg/g;HYDROCORTISON;1 mg/g;Emulsie voor cutaan gebruik;HYDROCORTISON - 1 mg/g - Emulsie voor cutaan gebruik
Toctino 30 mg, zachte capsules;ALITRETINOÏNE;30 mg;Capsule;ALITRETINOÏNE - 30 mg - Capsule
Triplixam 5 mg/1,25 mg/5 mg, filmomhulde tabletten;AMLODIPINE/INDAPAMIDE/PERINDOPRIL;5 mg/1,25 mg/5 mg;Filmomhulde tablet;AMLODIPINE/INDAPAMIDE/PERINDOPRIL - 5 mg/1,25 mg/5 mg - Filmomhulde tablet
Clonidinehydrochloride Eureco-Pharma oplossing voor injectie 0,150 mg/ml;CLONIDINE;0,150 mg/ml;Oplossing voor injectie;CLONIDINE - 0,150 mg/ml - Oplossing voor injectie
Seroquel 200 mg, filmomhulde tabletten;QUETIAPINE;200 mg;Filmomhulde tablet;QUETIAPINE - 200 mg - Filmomhulde tablet
Sandostatine LAR 30 mg, poeder en oplosmiddel voor suspensie voor injectie;OCTREOTIDE;30 mg;Poeder en oplosmiddel voor suspensie voor injectie;OCTREOTIDE - 30 mg - Poeder en oplosmiddel voor suspensie voor injectie
Nexium 10 mg, maagsapresistent granulaat voor orale suspensie;ESOMEPRAZOL;10 mg;Maagsapresistent granulaat voor orale suspensie;ESOMEPRAZOL - 10 mg - Maagsapresistent granulaat voor orale suspensie
Colitofalk 1 g, zetpillen;MESALAZINE;1 g;Zetpil;MESALAZINE - 1 g - Zetpil
Ciclosporine Medcor 100 mg, zachte capsules;CICLOSPORINE;100 mg;Capsule;CICLOSPORINE - 100 mg - Capsule
Nebido 1000 mg/4 ml, oplossing voor injectie;TESTOSTERON;1000 mg/4 ml;Oplossing voor injectie;TESTOSTERON - 1000 mg/4 ml - Oplossing voor injectie
Methylfenidaat HCl Sandoz 10 mg, tabletten;METHYLFENIDAAT;10 mg;Tablet;METHYLFENIDAAT - 10 mg - Tablet
Triplixam 5 mg/1,25 mg/10 mg, filmomhulde tabletten;AMLODIPINE/INDAPAMIDE/PERINDOPRIL;5 mg/1,25 mg/10 mg;Filmomhulde tablet;AMLODIPINE/INDAPAMIDE/PERINDOPRIL - 5 mg/1,25 mg/10 mg - Filmomhulde tablet
Toctino 10 mg, capsules, zacht;ALITRETINOÏNE;10 mg;Capsule;ALITRETINOÏNE - 10 mg - Capsule
Isosorbidemononitraat Retard Medcor 100 mg, harde capsules met gereguleerde afgifte;ISOSORBIDEMONO;100 mg;Capsule met gereguleerde afgifte;ISOSORBIDEMONO - 100 mg - Capsule met gereguleerde afgifte
Mono-Cedocard Retard 100, capsules met gereguleerde afgifte 100 mg;ISOSORBIDEMONO;100 mg;Capsule met verlengde afgifte;ISOSORBIDEMONO - 100 mg - Capsule met verlengde afgifte
Fraxiparine 3.800 IE/ 0,4 ml oplossing voor injectie;NADROPARINE;3.800 IE/ 0,4 ml;Oplossing voor injectie;NADROPARINE - 3.800 IE/ 0,4 ml - Oplossing voor injectie
Seroquel XR 200 mg, tabletten met verlengde afgifte;QUETIAPINE;200 mg;Tablet met verlengde afgifte;QUETIAPINE - 200 mg - Tablet met verlengde afgifte
Salofalk 1000 mg Granu-Stix, granulaat met verlengde afgifte;MESALAZINE;1000 mg;Granulaat met verlengde afgifte;MESALAZINE - 1000 mg - Granulaat met verlengde afgifte
Salofalk 1000 mg Granu-Stix, maagsapresistent granulaat met verlengde afgifte;MESALAZINE;1000 mg;Maagsapresistent granulaat;MESALAZINE - 1000 mg - Maagsapresistent granulaat
Flixotide Diskus 100 microgram/dosis-inhalatiepoeder, voorverdeeld;FLUTICASON;100 mcg/dosis;Inhalatiepoeder;FLUTICASON - 100 mcg/dosis - Inhalatiepoeder
Synapause-E3 1 mg/g, vaginale crème;ESTRIOL;1 mg/g;Crème voor vaginaal gebruik;ESTRIOL - 1 mg/g - Crème voor vaginaal gebruik
Vesanoid, zachte capsules 10 mg;TRETINOINE;10 mg;Capsule;TRETINOINE - 10 mg - Capsule
GRAZAX, lyofilisaat voor sublinguaal gebruik 75.000 SQ-T;"TIMOTHEEGRASPOLLENEXTRACT ""ALK""";75,000 SQ-T;Lyofilisaat voor sublinguaal gebruik;"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" - 75,000 SQ-T - Lyofilisaat voor sublinguaal gebruik"
GRAZAX 75.0000-SQ-T, lyofilisaat voor sublinguaal gebruik;"TIMOTHEEGRASPOLLENEXTRACT ""ALK""";75,0000-SQ-T;Lyofilisaat voor sublinguaal gebruik;"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" - 75,0000-SQ-T - Lyofilisaat voor sublinguaal gebruik"
Grazax 75.000 SQ-T, lyofilisaat voor sublinguaal gebruik;"TIMOTHEEGRASPOLLENEXTRACT ""ALK""";75,000 SQ-T;Lyofilisaat voor sublinguaal gebruik;"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" - 75,000 SQ-T - Lyofilisaat voor sublinguaal gebruik"
Transiderm-Nitro 10 mg/24 uur, pleister voor transdermaal gebruik;NITROGLYCERINE;10 mg/24 uur;Pleister voor transdermaal gebruik;NITROGLYCERINE - 10 mg/24 uur - Pleister voor transdermaal gebruik
Barnidipine hydrochloride ERC 20 mg, harde capsules met gereguleerde afgifte;BARNIDIPINE;20 mg;Capsule met gereguleerde afgifte;BARNIDIPINE - 20 mg - Capsule met gereguleerde afgifte
Foster 100/6 microgram/dosis, aerosol, oplossing;BECLOMETASON/FORMOTEROL;100/6 mcg/dosis;Aërosol;BECLOMETASON/FORMOTEROL - 100/6 mcg/dosis - Aërosol
Foster 100/6 microgram/dosis, aërosol, oplossing;BECLOMETASON/FORMOTEROL;100/6 mcg/dosis;Aërosol;BECLOMETASON/FORMOTEROL - 100/6 mcg/dosis - Aërosol
Ostac 520, filmomhulde tabletten 520 mg;CLODRONAAT;520 mg;Filmomhulde tablet;CLODRONAAT - 520 mg - Filmomhulde tablet
Ostac 520 mg, filmomhulde tabletten;CLODRONAAT;520 mg;Filmomhulde tablet;CLODRONAAT - 520 mg - Filmomhulde tablet
Efexor XR 150, harde capsules met verlengde afgifte, 150 mg;VENLAFAXINE;150 mg;Capsule met verlengde afgifte;VENLAFAXINE - 150 mg - Capsule met verlengde afgifte
Efexor XR 150, capsules met verlengde afgifte, hard, 150 mg;VENLAFAXINE;150 mg;Capsule met verlengde afgifte;VENLAFAXINE - 150 mg - Capsule met verlengde afgifte
Combodart 0,5 mg/0,4 mg, harde capsules;DUTASTERIDE/TAMSULOSINE;0,5 mg/0,4 mg;Capsule;DUTASTERIDE/TAMSULOSINE - 0,5 mg/0,4 mg - Capsule
Elvanse 70 mg, harde capsules;DEXAMFETAMINE/LISDEXAMFETAMINE;70 mg;Capsule;DEXAMFETAMINE/LISDEXAMFETAMINE - 70 mg - Capsule
Equasym  XL 30 mg, capsules met gereguleerde afgifte;METHYLFENIDAAT;30 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 30 mg - Capsule met gereguleerde afgifte
Rifinah 300 mg/150 mg, filmomhulde tabletten;ISONIAZIDE/RIFAMPICINE;300 mg/150 mg;Filmomhulde tablet;ISONIAZIDE/RIFAMPICINE - 300 mg/150 mg - Filmomhulde tablet
Rifinah 300 mg/150 mg, filmomhulde tablet;ISONIAZIDE/RIFAMPICINE;300 mg/150 mg;Omhulde tablet;ISONIAZIDE/RIFAMPICINE - 300 mg/150 mg - Omhulde tablet
Flixotide Diskus 250 microgram/dosis-inhalatiepoeder, voorverdeeld;FLUTICASON;250 mcg/dosis;Inhalatiepoeder;FLUTICASON - 250 mcg/dosis - Inhalatiepoeder
Mesalazine BModesto 1200 mg, maagsapresistente tabletten met verlengde afgifte;MESALAZINE;1200 mg;Maagsapresistente tablet;MESALAZINE - 1200 mg - Maagsapresistente tablet
Flixotide 500 nebules, vernevelsuspensie 0,5 mg/2 ml;FLUTICASON;0,5 mg/2 ml;Vernevelsuspensie;FLUTICASON - 0,5 mg/2 ml - Vernevelsuspensie
Saflutan 15 microgram/ml, oogdruppels, oplossing, verpakking voor eenmalig gebruik;TAFLUPROST;15 mcg/ml;Oogdruppels;TAFLUPROST - 15 mcg/ml - Oogdruppels
Innohep 18.000 IE anti-Xa/0,9 ml, oplossing voor injectie;TINZAPARINE;18,000 IE;Oplossing voor injectie;TINZAPARINE - 18,000 IE - Oplossing voor injectie
Dantrium IV, poeder voor injectievloeistof 20 mg;DANTROLEEN;20 mg;Poeder voor oplossing voor injectie;DANTROLEEN - 20 mg - Poeder voor oplossing voor injectie
Methylprednisolon Eureco-Pharma poeder voor oplossing voor infusie, 500 mg;METHYLPREDNISOLON;500 mg;Poeder voor oplossing voor infusie;METHYLPREDNISOLON - 500 mg - Poeder voor oplossing voor infusie
Oestrogel 0,75 mg/dosis, transdermale gel;ESTRADIOL;0,75 mg/dosis;Gel voor transdermaal gebruik;ESTRADIOL - 0,75 mg/dosis - Gel voor transdermaal gebruik
Durogesic 100 µg/uur, pleisters voor transdermaal gebruik;FENTANYL;100 mcg/uur;Pleister voor transdermaal gebruik;FENTANYL - 100 mcg/uur - Pleister voor transdermaal gebruik
Ondansetron Eureco-Pharma stroop 4 mg/5 ml;ONDANSETRON;4 mg/5 ml;Stroop;ONDANSETRON - 4 mg/5 ml - Stroop
Zofran 4 mg/5 ml, stroop;ONDANSETRON;4 mg/5 ml;Stroop;ONDANSETRON - 4 mg/5 ml - Stroop
Rocuroniumbromide ERC 10 mg/ml, oplossing voor injectie/infusie;ROCURONIUM;10 mg/ml;Oplossing voor injectie;ROCURONIUM - 10 mg/ml - Oplossing voor injectie
D-Cure 25.000 IE, drank;CHOLECALCIFEROL;25,000 IE;Drank;CHOLECALCIFEROL - 25,000 IE - Drank
Nizoral crème 20 mg/g, crème;KETOCONAZOL;20 mg/g;Crème;KETOCONAZOL - 20 mg/g - Crème
Haldol 5 mg/ml, oplossing voor injectie;HALOPERIDOL;5 mg/ml;Oplossing voor injectie;HALOPERIDOL - 5 mg/ml - Oplossing voor injectie
Haldol oplossing voor injectie 5 mg/ml, oplossing voor injectie;HALOPERIDOL;5 mg/ml;Oplossing voor injectie;HALOPERIDOL - 5 mg/ml - Oplossing voor injectie
Leuproreline-acetaat ERC PDS Depot 3 maanden 11,25 mg, poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE;11,25 mg;Poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie
Xylocaine 20 mg/g gel, katheterslijm;LIDOCAINE;20 mg/g;Gel voor urethraal gebruik;LIDOCAINE - 20 mg/g - Gel voor urethraal gebruik
Aktiprol 400 mg tabletten;AMISULPRIDE;400 mg;Tablet;AMISULPRIDE - 400 mg - Tablet
Amisulpride Medcor 400 mg, filmomhulde tabletten;AMISULPRIDE;400 mg;Filmomhulde tablet;AMISULPRIDE - 400 mg - Filmomhulde tablet
Condyline 5 mg/ml, applicatievloeistof;PODOPHYLLOTOXINE;5 mg/ml;Vloeistof voor cutaan gebruik;PODOPHYLLOTOXINE - 5 mg/ml - Vloeistof voor cutaan gebruik
Zilversulfadiazine Sandoz 10 mg/g, crème;ZILVERSULFADIAZINE;10 mg/g;Crème;ZILVERSULFADIAZINE - 10 mg/g - Crème
Depakine Chrono 500 mg, tabletten met gereguleerde afgifte;VALPROAAT/VALPROÏNEZUUR;500 mg;Tablet met gereguleerde afgifte;VALPROAAT/VALPROÏNEZUUR - 500 mg - Tablet met gereguleerde afgifte
Abstral 600 microgram, tabletten voor sublinguaal gebruik;FENTANYL;600 mcg;Tablet voor sublinguaal gebruik;FENTANYL - 600 mcg - Tablet voor sublinguaal gebruik
Alutard SQ Bijengif 100.000 SQ-E/ml, suspensie voor injectie;EXTRACT VAN HET GIF VAN APIS MELLIFERA;100,000 SQ-eenheden/ml;Suspensie voor injectie;EXTRACT VAN HET GIF VAN APIS MELLIFERA - 100,000 SQ-eenheden/ml - Suspensie voor injectie
Gliclazide Aurobindo 80 mg, tabletten met gereguleerde afgifte;GLICLAZIDE;80 mg;Tablet met gereguleerde afgifte;GLICLAZIDE - 80 mg - Tablet met gereguleerde afgifte
Flixotide 50 Inhalator CFK-vrij, aërosol, suspensie 50 microgram/dosis;FLUTICASON;50 mcg/dosis;Aërosol;FLUTICASON - 50 mcg/dosis - Aërosol
Zofil 7,5 mg filmomhulde tabletten;ZOFENOPRIL;7,5 mg;Filmomhulde tablet;ZOFENOPRIL - 7,5 mg - Filmomhulde tablet
Verapamil HCI Eureco-Pharma 2,5 mg/ml, oplossing voor injectie;VERAPAMIL;2,5 mg/ml;Oplossing voor injectie;VERAPAMIL - 2,5 mg/ml - Oplossing voor injectie
Trileptal 600 mg, filmomhulde tabletten;OXCARBAZEPINE;600 mg;Filmomhulde tablet;OXCARBAZEPINE - 600 mg - Filmomhulde tablet
Eligard 22,5 mg poeder en oplosmiddel voor oplossing voor injectie;LEUPRORELINE;22,5 mg;Poeder en oplosmiddel voor oplossing voor injectie;LEUPRORELINE - 22,5 mg - Poeder en oplosmiddel voor oplossing voor injectie
Eligard 45 mg, poeder en oplosmiddel voor oplossing voor injectie;LEUPRORELINE;45 mg;Poeder en oplosmiddel voor oplossing voor injectie;LEUPRORELINE - 45 mg - Poeder en oplosmiddel voor oplossing voor injectie
Implanon NXT, 68 mg implantaat voor subdermaal gebruik;ETONOGESTREL;68 mg;Implantaat;ETONOGESTREL - 68 mg - Implantaat
Salagen 5 mg, filmomhulde tabletten;PILOCARPINE;5 mg;Filmomhulde tablet;PILOCARPINE - 5 mg - Filmomhulde tablet
Somatuline AutoSolution 90 mg, oplossing voor injectie in een voorgevulde spuit;LANREOTIDE;90 mg;Oplossing voor injectie;LANREOTIDE - 90 mg - Oplossing voor injectie
Minoxidil Medcor, tabletten 10 mg;MINOXIDIL;10 mg;Tablet;MINOXIDIL - 10 mg - Tablet
Antabus dispergetten 400 mg, bruistabletten;DISULFIRAM;400 mg;Bruistablet;DISULFIRAM - 400 mg - Bruistablet
Zopiclon Teva 7,5 mg, omhulde tabletten;ZOPICLON;7,5 mg;Omhulde tablet;ZOPICLON - 7,5 mg - Omhulde tablet
Soolantra 10 mg/g crème;IVERMECTINE;10 mg/g;Crème;IVERMECTINE - 10 mg/g - Crème
Cyclogest 400 mg, ovule;PROGESTERON;400 mg;Ovule;PROGESTERON - 400 mg - Ovule
Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld;FLUTICASON;500 mcg/dosis;Inhalatiepoeder;FLUTICASON - 500 mcg/dosis - Inhalatiepoeder
Vancomycine Eureco-Pharma 250 mg harde capsules;VANCOMYCINE;250 mg;Capsule;VANCOMYCINE - 250 mg - Capsule
Ursofalk 500 mg filmomhulde tabletten;URSODEOXYCHOLZUUR;500 mg;Filmomhulde tablet;URSODEOXYCHOLZUUR - 500 mg - Filmomhulde tablet
Lucrin PDS Depot 3,75 mg, poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE;3,75 mg;Poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE - 3,75 mg - Poeder en oplosmiddel voor suspensie voor injectie
Foster NEXThaler 200/6 microgram/dosis, inhalatiepoeder;BECLOMETASON/FORMOTEROL;200/6 mcg/dosis;Inhalatiepoeder;BECLOMETASON/FORMOTEROL - 200/6 mcg/dosis - Inhalatiepoeder
Elvanse 50 mg, harde capsules;DEXAMFETAMINE/LISDEXAMFETAMINE;50 mg;Capsule;DEXAMFETAMINE/LISDEXAMFETAMINE - 50 mg - Capsule
GlucaGen Hypokit 1 mg Poeder en oplosmiddel voor oplossing voor injectie;GLUCAGON;1 mg;Poeder en oplosmiddel voor oplossing voor injectie;GLUCAGON - 1 mg - Poeder en oplosmiddel voor oplossing voor injectie
Citanest 3% - Octapressine DENTAL, injectievloeistof voor perineurale toediening 30 mg/ml + 0,54 mcg/ml;FELYPRESSINE/PRILOCAÏNE;3%;Oplossing voor injectie;FELYPRESSINE/PRILOCAÏNE - 3% - Oplossing voor injectie
Lasix 500 mg, tabletten;FUROSEMIDE;500 mg;Tablet;FUROSEMIDE - 500 mg - Tablet
Vesomni 6 mg/0,4 mg, tabletten met gereguleerde afgifte;SOLIFENACINE/TAMSULOSINE;6 mg/0,4 mg;Tablet met gereguleerde afgifte;SOLIFENACINE/TAMSULOSINE - 6 mg/0,4 mg - Tablet met gereguleerde afgifte
Creon 35.000, harde maagsapresistente capsules 35.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;35,000 eenheden;Maagsapresistente capsule;AMYLASE/LIPASE/PANCREATINE/PROTEASE - 35,000 eenheden - Maagsapresistente capsule
Hydroxyurea ERC 500 mg, harde capsules;HYDROXYCARBAMIDE;500 mg;Capsule;HYDROXYCARBAMIDE - 500 mg - Capsule
Dymista Neusspray 137 microgram/50 microgram, neusspray, suspensie;AZELASTINE/FLUTICASON;137 mcg/50 mcg;Neusspray;AZELASTINE/FLUTICASON - 137 mcg/50 mcg - Neusspray
Femoston continu 1/5, filmomhulde tabletten 1 mg, 5 mg;DYDROGESTERON/ESTRADIOL;1 mg;Filmomhulde tablet;DYDROGESTERON/ESTRADIOL - 1 mg - Filmomhulde tablet
Transtec 35 µg/uur 4 dagen, pleister voor transdermaal gebruik;BUPRENORFINE;35 mcg/uur;Pleister voor transdermaal gebruik;BUPRENORFINE - 35 mcg/uur - Pleister voor transdermaal gebruik
Amisulpride Eureco-Pharma 100 mg tableteen;AMISULPRIDE;100 mg;Tablet;AMISULPRIDE - 100 mg - Tablet
Amisulpride Medcor 100 mg, tabletten;AMISULPRIDE;100 mg;Tablet;AMISULPRIDE - 100 mg - Tablet
Octreotide Medcor 0,1 mg/ml oplossing voor injectie in een voorgevulde spuit;OCTREOTIDE;0,1 mg/ml;Oplossing voor injectie;OCTREOTIDE - 0,1 mg/ml - Oplossing voor injectie
Duraphat 5000 ppm tandpasta;FLUORIDE;5000 ppm;Tandpasta;FLUORIDE - 5000 ppm - Tandpasta
Xalacom 50 microgram/ml + 5 mg/ml oogdruppels, oplossing;LATANOPROST/TIMOLOL;50 mcg/ml;Oogdruppels;LATANOPROST/TIMOLOL - 50 mcg/ml - Oogdruppels
Actiq 600 microgram zuigtabletten met integrale applicator voor oromucosaal gebruik;FENTANYL;600 mcg;Zuigtablet;FENTANYL - 600 mcg - Zuigtablet
Actiq 400 microgram zuigtabletten met integrale applicator voor oromucosaal gebruik;FENTANYL;400 mcg;Zuigtablet;FENTANYL - 400 mcg - Zuigtablet
Cisordinol 10 mg, filmomhulde tabletten;ZUCLOPENTIXOL;10 mg;Filmomhulde tablet;ZUCLOPENTIXOL - 10 mg - Filmomhulde tablet
Hyaluronidase Eureco-Pharma 150 I.E., poeder voor injectievloeistof;HYALURONIDASE;150 IE;Poeder en oplosmiddel voor oplossing voor injectie;HYALURONIDASE - 150 IE - Poeder en oplosmiddel voor oplossing voor injectie
Thiamine HCl Eureco-Pharma 100 mg/ml, oplossing voor injectie;THIAMINE;100 mg/ml;Oplossing voor injectie;THIAMINE - 100 mg/ml - Oplossing voor injectie
Orap 1, tabletten 1 mg;PIMOZIDE;1 mg;Tablet;PIMOZIDE - 1 mg - Tablet
Dostinex, tabletten 0,5 mg;CABERGOLINE;0,5 mg;Tablet;CABERGOLINE - 0,5 mg - Tablet
Progynova 1 mg, omhulde tabletten;ESTRADIOL;1 mg;Omhulde tablet;ESTRADIOL - 1 mg - Omhulde tablet
Foster NEXThaler 100/6 microgram/dosis, inhalatiepoeder;BECLOMETASON/FORMOTEROL;100/6 mcg/dosis;Inhalatiepoeder;BECLOMETASON/FORMOTEROL - 100/6 mcg/dosis - Inhalatiepoeder
Tetagam P 250 IE, oplossing voor injectie in een voorgevulde spuit;IMMUNOGLOBULINE, HUMAAN, TETANUS;250 IE;Oplossing voor injectie;IMMUNOGLOBULINE, HUMAAN, TETANUS - 250 IE - Oplossing voor injectie
Tetagam P 250 IE/ml, oplossing voor injectie in een voorgevulde spuit;IMMUNOGLOBULINE, HUMAAN, TETANUS;250 IE/ml;Oplossing voor injectie;IMMUNOGLOBULINE, HUMAAN, TETANUS - 250 IE/ml - Oplossing voor injectie
Diprosone zalf 0,5 mg/g;BETAMETHASON;0,5 mg/g;Zalf;BETAMETHASON - 0,5 mg/g - Zalf
Diprosone 0,05% lotion, lotion 0,5 mg/g;BETAMETHASON;0,05%;Oplossing voor cutaan gebruik;BETAMETHASON - 0,05% - Oplossing voor cutaan gebruik
Clobex 500 microgram/g, shampoo;CLOBETASOL;500 mcg/g;Shampoo;CLOBETASOL - 500 mcg/g - Shampoo
Mirena, IUD 20 microgram/24 uur;LEVONORGESTREL;20 mcg/24 uur;Afleveringsysteem voor intra-uterien gebruik;LEVONORGESTREL - 20 mcg/24 uur - Afleveringsysteem voor intra-uterien gebruik
Seretide Diskus 50/100 microgram/dosis, inhalatiepoeder, voorverdeeld;FLUTICASON/SALMETEROL;50/100 mcg/dosis;Inhalatiepoeder;FLUTICASON/SALMETEROL - 50/100 mcg/dosis - Inhalatiepoeder
Creon granulaat 5.000, maagsapresistent granulaat 5.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;5.000 eenheden;Maagsapresistent granulaat;AMYLASE/LIPASE/PANCREATINE/PROTEASE - 5.000 eenheden - Maagsapresistent granulaat
Humuline NPH KwikPen, suspensie voor injectie 100 IE/ml, 3 ml;INSULINE HUMAAN;100 IE/ml;Suspensie voor injectie;INSULINE HUMAAN - 100 IE/ml - Suspensie voor injectie
Diflucan 40 mg/ml, poeder voor orale suspensie;FLUCONAZOL;40 mg/ml;Poeder voor orale suspensie;FLUCONAZOL - 40 mg/ml - Poeder voor orale suspensie
Symmetrel 100 mg capsules;AMANTADINE;100 mg;Capsule;AMANTADINE - 100 mg - Capsule
Erytromycine Eureco-Pharma i.v. 1 g poeder voor oplossing voor infusie;ERYTROMYCINE;1 g;Poeder voor oplossing voor infusie;ERYTROMYCINE - 1 g - Poeder voor oplossing voor infusie
Alutard SQ 2-Huisstofmijten 100.000 SQ-E/ml, suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE;100,000 SQ-eenheden/ml;Suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE - 100,000 SQ-eenheden/ml - Suspensie voor injectie
Zocor 10 mg filmomhulde tabletten;SIMVASTATINE;10 mg;Filmomhulde tablet;SIMVASTATINE - 10 mg - Filmomhulde tablet
