Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct;Kolom1
Batrevac Tetra, suspensie voor injectie in voorgevulde spuit 0,5 ml;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26)/B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, wild type);0,5 ml;Suspensie voor injectie;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26)/B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, wild type) - 0,5 ml - Suspensie voor injectie;316
Serinflu Tetra, suspensie voor injectie in flacon 0,5 ml;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26)/B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, wild type);0,5 ml;Suspensie voor injectie;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26)/B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, wild type) - 0,5 ml - Suspensie voor injectie;316
Influvac Tetra, suspensie voor injectie in voorgevulde spuit 0,5 ml;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26)/B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, wild type);0,5 ml;Suspensie voor injectie;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26)/B-PHUKET-3073-2013-ACHTIGE STAM (B-PHUKET-3073-2013, wild type) - 0,5 ml - Suspensie voor injectie;316
REVAXiS, suspensie voor injectie, 0,5 ml;DIFTERIETOXOÏDE, GEADSORBEERD/POLIOMYELITIS VIRUS TYPE I (Mahoney Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE II (MEF-1 Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE III (Saukett Stam) MONOVALENT, GEÏNACTIVEERD/TETANUSTOXOÏDE, GEADSORBEERD, GEINACTIVEERD;0,5 ml;Suspensie voor injectie;DIFTERIETOXOÏDE, GEADSORBEERD/POLIOMYELITIS VIRUS TYPE I (Mahoney Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE II (MEF-1 Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE III (Saukett Stam) MONOVALENT, GEÏNACTIVEERD/TETANUSTOXOÏDE, GEADSORBEERD, GEINACTIVEERD - 0,5 ml - Suspensie voor injectie;313
Aminoplasmal B. Braun 10% E-vrij, oplossing voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUTAMINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);10%;Oplossing voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUTAMINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 10% - Oplossing voor infusie;301
Aminoven 10% oplossing voor infusie;ALANINE, L-/, (L-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);10%;Oplossing voor infusie;ALANINE, L-/, (L-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 10% - Oplossing voor infusie;263
Aminoven 15% oplossing voor infusie;ALANINE, L-/, (L-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);15%;Oplossing voor infusie;ALANINE, L-/, (L-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 15% - Oplossing voor infusie;263
Aminoven 5% oplossing voor infusie;ALANINE, L-/, (L-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);5%;Oplossing voor infusie;ALANINE, L-/, (L-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 5% - Oplossing voor infusie;262
Batrevac, suspensie voor injectie 0,5 ml;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26);0,5 ml;Suspensie voor injectie;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26) - 0,5 ml - Suspensie voor injectie;252
Influvac, suspensie voor injectie 0,5 ml;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26);0,5 ml;Suspensie voor injectie;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26) - 0,5 ml - Suspensie voor injectie;252
Serinflu, suspensie voor injectie 0.5 ml;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26);0,5 ml;Suspensie voor injectie;A-THAILAND-8-2022 (H3N2)-ACHTIGE STAM (A-CALIFORNIA-122-2022, SAN-022)/A-VICTORIA-4897-2022 (H1N1)PDM09-ACHTIGE STAM (A-VICTORIA-4897-2022, IVR-238)/B-AUSTRIA-1359417-2021-ACHTIGE STAM (B-AUSTRIA-1359417-2021, BVR-26) - 0,5 ml - Suspensie voor injectie;252
Alutard SQ 5-Graspollen 100-100.000 SQ-E/ml, suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN ALOPECURIS PRATENSIS POLLEN, DACTYLIS PRATENSIS POLLEN, FESTUCA PRATENSIS POLLEN, LOLIUM PERENNE POLLEN, PHLEUM PRATENSE POLLEN;100,000 SQ-eenheden/ml;Suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN ALOPECURIS PRATENSIS POLLEN, DACTYLIS PRATENSIS POLLEN, FESTUCA PRATENSIS POLLEN, LOLIUM PERENNE POLLEN, PHLEUM PRATENSE POLLEN - 100,000 SQ-eenheden/ml - Suspensie voor injectie;214
