PRESCRIBING_PRODUCT;AFLEVERSTATUS
VENLAFAXINE - 150 mg - Capsule met verlengde afgifte;Uitsluitend recept
DUTASTERIDE/TAMSULOSINE - 0,5 mg/0,4 mg - Capsule;Uitsluitend recept
DEXAMFETAMINE/LISDEXAMFETAMINE - 70 mg - Capsule;Uitsluitend recept
METHYLFENIDAAT - 30 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
ISONIAZIDE/RIFAMPICINE - 300 mg/150 mg - Filmomhulde tablet;Uitsluitend recept
ISONIAZIDE/RIFAMPICINE - 300 mg/150 mg - Omhulde tablet;Uitsluitend recept
FLUTICASON - 250 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
MESALAZINE - 1200 mg - Maagsapresistente tablet;Uitsluitend recept
FLUTICASON - 0,5 mg/2 ml - Vernevelsuspensie;Uitsluitend recept
TINZAPARINE - 18.000 IE - Oplossing voor injectie;Uitsluitend recept
DANTROLEEN - 20 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
METHYLPREDNISOLON - 500 mg - Poeder voor oplossing voor infusie;Uitsluitend recept
ESTRADIOL - 0,75 mg/dosis - Gel voor transdermaal gebruik;Uitsluitend recept
FENTANYL - 100 µg/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
ONDANSETRON - 4 mg/5 ml - Stroop;Uitsluitend recept
ROCURONIUM - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
CHOLECALCIFEROL - 25.000 IE - Drank;Uitsluitend recept
KETOCONAZOL - 20 mg/g - Crème;Uitsluitend recept
HALOPERIDOL - 5 mg/ml - Oplossing voor injectie;Uitsluitend recept
LEUPRORELINE - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
LIDOCAINE - 20 mg/g - Gel voor urethraal gebruik;Uitsluitend recept
AMISULPRIDE - 400 mg - Tablet;Uitsluitend recept
AMISULPRIDE - 400 mg - Filmomhulde tablet;Uitsluitend recept
PODOPHYLLOTOXINE - 5 mg/ml - Vloeistof voor cutaan gebruik;Uitsluitend recept
ZILVERSULFADIAZINE - 10 mg/g - Crème;Uitsluitend recept
VALPROAAT/VALPROÏNEZUUR - 500 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
FENTANYL - 600 microgram - Tablet voor sublinguaal gebruik;Uitsluitend recept
EXTRACT VAN HET GIF VAN APIS MELLIFERA - 100.000 SQ-E/ml - Suspensie voor injectie;Uitsluitend recept
GLICLAZIDE - 80 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
FLUTICASON - 50 microgram/dosis - Aërosol;Uitsluitend recept
ZOFENOPRIL - 7,5 mg - Filmomhulde tablet;Uitsluitend recept
VERAPAMIL - 2,5 mg/ml - Oplossing voor injectie;Uitsluitend recept
OXCARBAZEPINE - 600 mg - Filmomhulde tablet;Uitsluitend recept
COLISTIMETHAAT  (Component A en B) -  - Poeder voor oplossing voor infusie;Uitsluitend recept
LEUPRORELINE - 22,5 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
LEUPRORELINE - 45 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ETONOGESTREL - 68 mg - Implantaat;Uitsluitend recept
PILOCARPINE - 5 mg - Filmomhulde tablet;Uitsluitend recept
LANREOTIDE - 90 mg - Oplossing voor injectie;Uitsluitend recept
MINOXIDIL - 10 mg - Tablet;Uitsluitend recept
DISULFIRAM - 400 mg - Bruistablet;Uitsluitend recept
ZOPICLON - 7,5 mg - Omhulde tablet;Uitsluitend recept
IVERMECTINE - 10 mg/g - Crème;Uitsluitend recept
PROGESTERON - 400 mg - Ovule;Uitsluitend recept
FLUTICASON - 500 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
VANCOMYCINE - 250 mg - Capsule;Uitsluitend recept
URSODEOXYCHOLZUUR - 500 mg - Filmomhulde tablet;Uitsluitend recept
LEUPRORELINE - 3,75 mg - Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
BECLOMETASON/FORMOTEROL - 200/6 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
DEXAMFETAMINE/LISDEXAMFETAMINE - 50 mg - Capsule;Uitsluitend recept
GLUCAGON - 1 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
FELYPRESSINE/PRILOCAÏNE - 3% - Oplossing voor injectie;Uitsluitend recept
FUROSEMIDE - 500 mg - Tablet;Uitsluitend recept
DYDROGESTERON/ESTRADIOL -  - Filmomhulde tablet;Uitsluitend recept
SOLIFENACINE/TAMSULOSINE - 6 mg/0,4 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 35.000 eenheden - Maagsapresistente capsule;Uitsluitend recept
HYDROXYCARBAMIDE - 500 mg - Capsule;Uitsluitend recept
AZELASTINE/FLUTICASON - 137 microgram/50 microgram - Neusspray;Uitsluitend recept
DYDROGESTERON/ESTRADIOL - 1 mg - Filmomhulde tablet;Uitsluitend recept
BUPRENORFINE - 35 µg/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
AMISULPRIDE - 100 mg - Tablet;Uitsluitend recept
OCTREOTIDE - 0,1 mg/ml - Oplossing voor injectie;Uitsluitend recept
FLUORIDE -  - Tandpasta;Uitsluitend recept
LATANOPROST/TIMOLOL - 50 microgram/ml - Oogdruppels;Uitsluitend recept
FENTANYL - 600 microgram - Zuigtablet;Uitsluitend recept
FENTANYL - 400 microgram - Zuigtablet;Uitsluitend recept
ZUCLOPENTIXOL - 10 mg - Filmomhulde tablet;Uitsluitend recept
HYALURONIDASE -  - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
THIAMINE - 100 mg/ml - Oplossing voor injectie;Uitsluitend recept
PIMOZIDE - 1 mg - Tablet;Uitsluitend recept
CABERGOLINE - 0,5 mg - Tablet;Uitsluitend recept
ESTRADIOL - 1 mg - Omhulde tablet;Uitsluitend recept
BECLOMETASON/FORMOTEROL - 100/6 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
IMMUNOGLOBULINE, HUMAAN, TETANUS - 250 IE - Oplossing voor injectie;Uitsluitend recept
IMMUNOGLOBULINE, HUMAAN, TETANUS - 250 IE/ml - Oplossing voor injectie;Uitsluitend recept
BETAMETHASON - 0,5 mg/g - Zalf;Uitsluitend recept
BETAMETHASON - 0,05% - Oplossing voor cutaan gebruik;Uitsluitend recept
CLOBETASOL - 500 microgram/g - Shampoo;Uitsluitend recept
LEVONORGESTREL - 20 microgram/24 uur - Afleveringsysteem voor intra-uterien gebruik;Uitsluitend recept
FLUTICASON/SALMETEROL - 50/100 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 5.000 eenheden - Maagsapresistent granulaat;Uitsluitend recept
INSULINE HUMAAN - 100 IE/ml - Suspensie voor injectie;Uitsluitend recept
FLUCONAZOL - 40 mg/ml - Poeder voor orale suspensie;Uitsluitend recept
AMANTADINE - 100 mg - Capsule;Uitsluitend recept
ERYTROMYCINE - 1 g - Poeder voor oplossing voor infusie;Uitsluitend recept
WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE - 100.000 SQ-E/ml - Suspensie voor injectie;Uitsluitend recept
SIMVASTATINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/INDAPAMIDE/PERINDOPRIL - 10 mg/2,5 mg/10 mg - Filmomhulde tablet;Uitsluitend recept
MOMETASONFUROAAT - 0,1% - Zalf;Uitsluitend recept
CITALOPRAM - 40 mg/ml - Druppels voor oraal gebruik;Uitsluitend recept
HYOSCINEBUTYL - 20 mg/ml - Oplossing voor injectie;Uitsluitend recept
CLOBETASOL - 0,5 mg/g - Vloeistof voor cutaan gebruik;Uitsluitend recept
TRIPTORELINEPAMOAAT - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
LEUPRORELINE - 30 mg - Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
GOSERELINE - 10,8 mg - Implantatietablet;Uitsluitend recept
MYCOFENOLAAT - 360 mg - Maagsapresistente tablet;Uitsluitend recept
LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;Uitsluitend recept
BENSERAZIDE/LEVODOPA - 250 mg - Tablet;Uitsluitend recept
BENSERAZIDE/LEVODOPA - 200/50 mg - Tablet;Uitsluitend recept
NADROPARINE - 19.000 IE/ 1 ml - Oplossing voor injectie;Uitsluitend recept
AMIODARON - 200 mg - Tablet;Uitsluitend recept
ROSUVASTATINE - 5 mg - Filmomhulde tablet;Uitsluitend recept
TETRABENAZINE - 25 mg - Tablet;Uitsluitend recept
PERINDOPRIL - 5 mg - Filmomhulde tablet;Uitsluitend recept
DIGOXINE - 0,5 mg/2 ml - Oplossing voor injectie;Uitsluitend recept
SUMATRIPTANHEMI - 10 mg/dosis - Neusspray;Uitsluitend recept
FENTANYL - 100 microgram - Tablet voor sublinguaal gebruik;Uitsluitend recept
MESALAZINE - 4 g/60 g - Oplossing voor rectaal gebruik;Uitsluitend recept
KETOCONAZOL - 20 mg/g - Shampoo;Uitsluitend recept
ADAPALEEN - 1 mg/g - Gel;Uitsluitend recept
TOPIRAMAAT - 15 mg - Capsule;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 10.000 eenheden - Maagsapresistente capsule;Uitsluitend recept
ELETRIPTAN - 40 mg - Filmomhulde tablet;Uitsluitend recept
ALLOPURINOL - 200 mg - Tablet;Uitsluitend recept
ALBENDAZOL - 400 mg - Filmomhulde tablet;Uitsluitend recept
BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD - 0,5 ml - Suspensie voor injectie;Uitsluitend recept
HALOPERIDOL - 100 mg/ml - Oplossing voor injectie;Uitsluitend recept
LIDOCAÏNE - 100 mg/ml - Spray voor oromucosaal gebruik;Uitsluitend recept
CARBIDOPA/LEVODOPA -  - Tablet met gereguleerde afgifte;Uitsluitend recept
VALSARTAN - 320 mg - Filmomhulde tablet;Uitsluitend recept
TACROLIMUS - 1 mg - Capsule;Uitsluitend recept
LIDOCAÏNE/PRILOCAÏNE - 5% - Crème;Uitsluitend recept
ONDANSETRON - 8 mg - Orodispergeerbare tablet;Uitsluitend recept
CEFUROXIMAXETIL - 250 mg - Filmomhulde tablet;Uitsluitend recept
BUMETANIDE - 5 mg - Tablet;Uitsluitend recept
RISPERIDON - 3 mg - Filmomhulde tablet;Uitsluitend recept
DIMETHYL - 120 mg - Maagsapresistente capsule;Uitsluitend recept
FULVESTRANT - 250 mg - Oplossing voor injectie;Uitsluitend recept
SOTALOL - 160 mg - Tablet;Uitsluitend recept
MORFINE - 1 mg/ml - Oplossing voor infusie;Uitsluitend recept
CARVEDILOL/IVABRADINE - 12,5 mg/5 mg - Filmomhulde tablet;Uitsluitend recept
PIRFENIDON - 801 mg - Filmomhulde tablet;Uitsluitend recept
MITOMYCINE - 40 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
DASATINIB - 70 mg - Filmomhulde tablet;Uitsluitend recept
FLUCLOXACILLINE - 125 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
MELFALAN - 50 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
AZACITIDINE - 25 mg/ml - Poeder voor suspensie voor injectie;Uitsluitend recept
MIRTAZAPINE - 45 mg - Filmomhulde tablet;Uitsluitend recept
ABIRATERON - 500 mg - Filmomhulde tablet;Uitsluitend recept
IRINOTECAN - 20 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
OXYCODON - 20 mg - Tablet met verlengde afgifte;Uitsluitend recept
TICAGRELOR - 90 mg - Filmomhulde tablet;Uitsluitend recept
CARBOPLATINE - 10 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
(Ca2+)/(E 509)/(CL-)/GLUCOSE/LACTAAT (S-VORM) (-)/(MG2+) /(E 511)/(NA+)//LACTAAT (R,S) (E 325)/LACTAAT (S-VORM) (E 325)/(E 500 (II))/(HCO3-) - 40 G - Oplossing voor peritoneale dialyse;Uitsluitend recept
LEVOFLOXACINE - 500 mg - Filmomhulde tablet;Uitsluitend recept
GLIMEPIRIDE - 3 mg - Tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/TELMISARTAN - 80/25 mg - Tablet;Uitsluitend recept
(C2H3O2)-/(Ca2+)/(E 509)/(CL-)/GLUCOSE/(K+)/(E 508)/(MG2+) /(E 511)/(NA+) /(E 262)/ -  - Oplossing voor infusie;Uitsluitend recept
PREGABALINE - 330 mg - Tablet met verlengde afgifte;Uitsluitend recept
UROKINASE - 50.000 IE - Poeder voor oplossing voor infusie;Uitsluitend recept
FLUMETASON - 0,02% - Crème;Uitsluitend recept
URAPIDIL - 25 mg - Oplossing voor injectie of infusie;Uitsluitend recept
DANAPAROID - 750 anti-Xa-eenheden - Oplossing voor injectie;Uitsluitend recept
EVEROLIMUS - 10 mg - Tablet;Uitsluitend recept
METOPROLOL - 23,75 mg - Tablet met verlengde afgifte;Uitsluitend recept
IRBESARTAN - 300 mg - Filmomhulde tablet;Uitsluitend recept
(C2H3O2)-/ALANINE, L-/, (L-)/(Ca2+)/(E 509)/(CL-)/GLYCERO, GEHYDRATEERD/FENYLALANINE, (L-)/(3-)/GLUCOSE/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/(K+)/(E 508)/LEUCINE, (L-) (E 641)/LYSINE, L-/(MG2+) /(E 518)/METHIONINE, (L-)/(NA+) /(E 262)/OLIJFOLIE, GEZUIVERD/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/(SO42-)/TAURINE/THREONINE, (L-)/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/VISOLIE, RIJK AAN OMEGA-3-ZUREN/ZINK (Zn2+)/ZINK -  - Emulsie voor infusie;Uitsluitend recept
IPRATROPIUM/SALBUTAMOL -  - Verneveloplossing;Uitsluitend recept
HYDROMORFON - 2 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
CEFAZOLINE - 2 g - Poeder voor oplossing voor injectie;Uitsluitend recept
MEMANTINE - 20 mg - Filmomhulde tablet;Uitsluitend recept
IOHEXOL - 647 mg/ml - Oplossing voor injectie;Uitsluitend recept
LENALIDOMIDE - 25 mg - Capsule;Uitsluitend recept
LABETALOL - 200 mg - Filmomhulde tablet;Uitsluitend recept
LAMIVUDINE/ZIDOVUDINE - 150/300 mg - Filmomhulde tablet;Uitsluitend recept
NIMODIPINE - 30 mg - Filmomhulde tablet;Uitsluitend recept
EZETIMIB/SIMVASTATINE - 10 mg/80 mg - Tablet;Uitsluitend recept
GABAPENTINE - 600 mg - Filmomhulde tablet;Uitsluitend recept
SILDENAFIL - 25 mg - Orodispergeerbare film;Uitsluitend recept
FLUNITRAZEPAM - 1 mg - Tablet;Uitsluitend recept
OCTOCOG ALFA - 1000 IE/10 ml - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
URSODEOXYCHOLZUUR - 500 mg - Capsule;Uitsluitend recept
COLISTIMETHAAT  (Component A en B) - 2 miljoen Internationale Eenheden - Poeder voor verneveloplossing;Uitsluitend recept
RISEDRONAAT - 30 mg - Filmomhulde tablet;Uitsluitend recept
METHADON - 40 mg - Tablet;Uitsluitend recept
OXYCODON - 20 mg - Orodispergeerbare tablet;Uitsluitend recept
METOPROLOL - 190 mg - Tablet met verlengde afgifte;Uitsluitend recept
ADRENALINE/ARTICAÏNE -  - Oplossing voor injectie;Uitsluitend recept
TIMOLOL - 5 mg/ml - Oogdruppels;Uitsluitend recept
PEMETREXED - 1000 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
SILDENAFIL - 25 mg - Filmomhulde tablet;Uitsluitend recept
LABETALOL - 400 mg - Filmomhulde tablet;Uitsluitend recept
POSACONAZOL/TITAANDIOXIDE (E 171) - 100 mg - Maagsapresistente tablet;Uitsluitend recept
CHOLECALCIFEROL - 800 IE - Capsule;Uitsluitend recept
UROKINASE - 10.000 IE - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
OMEPRAZOL - 20 mg - Maagsapresistente capsule;Uitsluitend recept
PAROXETINE - 30 mg - Tablet;Uitsluitend recept
ACICLOVIR - 25 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
RIZATRIPTAN - 10 mg - Orodispergeerbare tablet;Uitsluitend recept
FOSFOMYCINE - 40 mg/ml - Poeder voor oplossing voor infusie;Uitsluitend recept
EXEMESTAAN - 25 mg - Filmomhulde tablet;Uitsluitend recept
TENOFOVIRDISOPROXIL - 245 mg - Filmomhulde tablet;Uitsluitend recept
SUFENTANIL - 10 microgram/ml - Oplossing voor injectie of infusie;Uitsluitend recept
ALFA 1 PROTEINASE INHIBITOR, HUMAAN - 4000 mg - Poeder en oplosmiddel voor oplossing voor infusie;Uitsluitend recept
AMIKACINE - 500 mg/2 ml - Oplossing voor injectie;Uitsluitend recept
FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
OLANZAPINE - 15 mg - Filmomhulde tablet;Uitsluitend recept
TAPENTADOL - 50 mg - Tablet met verlengde afgifte;Uitsluitend recept
CHLOORPROTHIXEEN - 50 mg - Filmomhulde tablet;Uitsluitend recept
PRILOCAÏNE - 20 mg/ml - Oplossing voor injectie;Uitsluitend recept
IVABRADINE - 7,5 mg - Filmomhulde tablet;Uitsluitend recept
SIMVASTATINE - 80 mg - Filmomhulde tablet;Uitsluitend recept
GLATIRAMEER - 40 mg/ml - Oplossing voor injectie;Uitsluitend recept
(Ca2+)/(E 509)/(CL-)/(K+)/(E 508)/LACTAAT (R,S) (-)/(NA+)//LACTAAT (R,S) (E 325) -  - Oplossing voor infusie;Uitsluitend recept
ZOLPIDEM - 10 mg - Filmomhulde tablet;Uitsluitend recept
(E 170)/CHOLECALCIFEROL - 1000 mg/880 IE - Bruisgranulaat;Uitsluitend recept
SERTRALINE - 20 mg/ml - Vloeistof voor oraal gebruik;Uitsluitend recept
METHADON - 80 mg - Tablet;Uitsluitend recept
IRBESARTAN - 150 mg - Tablet;Uitsluitend recept
ATAZANAVIR - 200 mg - Capsule;Uitsluitend recept
AMLODIPINE/ATORVASTATINE/CANDESARTAN - 16 mg/5 mg/40 mg - Tablet;Uitsluitend recept
ARIPIPRAZOL - 15 mg - Tablet;Uitsluitend recept
CYPROTERON - 10 mg - Tablet;Uitsluitend recept
MORFINE - 100 mg - Tablet met verlengde afgifte;Uitsluitend recept
LEVOCARNITINE - 200 mg/ml - Oplossing voor injectie;Uitsluitend recept
EZETIMIB - 10 mg - Tablet;Uitsluitend recept
TOPOTECAN - 1 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
LATANOPROST - 50 microgram/ml - Oogdruppels;Uitsluitend recept
LOSARTAN - 12,5 mg - Filmomhulde tablet;Uitsluitend recept
CARVEDILOL - 6,25 mg - Filmomhulde tablet;Uitsluitend recept
METHYLAMINOLEVULINAAT - 160 mg/g - Crème;Uitsluitend recept
(E 508) - 10% - Concentraat voor oplossing voor infusie;Uitsluitend recept
CITALOPRAM - 10 mg - Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/PERINDOPRIL - 4 mg/5 mg - Tablet;Uitsluitend recept
LEVOFLOXACINE - 250 mg - Filmomhulde tablet;Uitsluitend recept
ENTECAVIR - 1 mg - Filmomhulde tablet;Uitsluitend recept
BRINZOLAMIDE/TIMOLOL - 5 mg/ml - Oogdruppels;Uitsluitend recept
PIRFENIDON - 267 mg - Filmomhulde tablet;Uitsluitend recept
ESOMEPRAZOL - 40 mg - Maagsapresistente capsule;Uitsluitend recept
SUMATRIPTAN - 100 mg - Tablet;Uitsluitend recept
NITROGLYCERINE - 5 mg/24 uur - Pleister voor transdermaal gebruik;Uitsluitend recept
POMALIDOMIDE - 2 mg - Capsule;Uitsluitend recept
TAPENTADOL - 25 mg - Tablet met verlengde afgifte;Uitsluitend recept
CARVEDILOL - 3,125 mg - Tablet;Uitsluitend recept
ANIDULAFUNGINE - 100 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
ESMOLOL - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
ZOLMITRIPTAN - 2,5 mg - Orodispergeerbare tablet;Uitsluitend recept
CANDESARTAN - 16 mg - Tablet;Uitsluitend recept
(E 170)/CHOLECALCIFEROL - 1000 mg - Kauwtablet;Uitsluitend recept
ETORICOXIB - 90 mg - Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet;Uitsluitend recept
EZETIMIB/SIMVASTATINE - 10 mg/20 mg - Tablet;Uitsluitend recept
HYDROMORFON - 2,6 mg - Capsule;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 4000 IE - Tablet;Uitsluitend recept
TOPIRAMAAT - 100 mg - Filmomhulde tablet;Uitsluitend recept
DEFERASIROX - 360 mg - Filmomhulde tablet;Uitsluitend recept
IMATINIB - 400 mg - Filmomhulde tablet;Uitsluitend recept
OLANZAPINE - 2,5 mg - Filmomhulde tablet;Uitsluitend recept
RIVAROXABAN - 20 mg - Filmomhulde tablet;Uitsluitend recept
POMALIDOMIDE - 1 mg - Capsule;Uitsluitend recept
METOPROLOL - 50 mg - Tablet;Uitsluitend recept
ISOTRETINOINE - 20 mg - Capsule;Uitsluitend recept
HALOPERIDOL - 50 mg/ml - Oplossing voor injectie;Uitsluitend recept
CHOLECALCIFEROL - 20.000 IE - Capsule;Uitsluitend recept
TRAMADOL - 50 mg - Capsule;Uitsluitend recept
IPRATROPIUM - 250 microgram/2 ml - Verneveloplossing;Uitsluitend recept
THALIDOMIDE - 50 mg - Capsule;Uitsluitend recept
NAPROXEN - 500 mg - Tablet;Uitsluitend recept
IJZERDEXTRANCOMPLEX - 50 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
DARUNAVIR - 400 mg - Filmomhulde tablet;Uitsluitend recept
CEFUROXIM - 1500 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
TERBUTALINE - 500 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
SITAGLIPTINE - 100 mg - Filmomhulde tablet;Uitsluitend recept
TESTOSTERON - 50 mg - Gel voor transdermaal gebruik;Uitsluitend recept
NADROPARINE - 9.500 IE/ 1 ml - Oplossing voor injectie;Uitsluitend recept
NEBIVOLOL - 5 mg - Tablet;Uitsluitend recept
GEFITINIB - 250 mg - Filmomhulde tablet;Uitsluitend recept
