PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
QUETIAPINE - 100 mg - Filmomhulde tablet;Seroquel 100 mg, filmomhulde tabletten;100 mg;QUETIAPINE;Filmomhulde tablet;Uitsluitend recept
LAMOTRIGINE - 100 mg - Dispergeerbare tablet;Lamictal Dispers 100 mg, kauwtabletten/dispergeerbare tabletten;100 mg;LAMOTRIGINE;Dispergeerbare tablet, Kauwtablet;Uitsluitend recept
TAFLUPROST - 15 microgram/ml - Oogdruppels;Saflutan 15 microgram/ml oogdruppels, oplossing;15 microgram/ml;TAFLUPROST;Oogdruppels, oplossing;Uitsluitend recept
PENTOXIFYLLINE - 400 mg - Tablet met gereguleerde afgifte;Trental 400 mg, tabletten met gereguleerde afgifte;400 mg;PENTOXIFYLLINE;Tablet met gereguleerde afgifte;Uitsluitend recept
PARACETAMOL - 500 mg - Tablet;Etos Paracetamol 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
PARACETAMOL - 500 mg - Tablet;Paracetamol HTP 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
PROMETHAZINE - 25 mg/ml - Oplossing voor injectie;Promethazine Eureco-Pharma 25 mg/ml, oplossing voor injectie;25 mg/ml;PROMETHAZINE;Oplossing voor injectie;Uitsluitend recept
CLOBETASOL - 0,5 mg/g - Zalf;Clobetasolpropionaat ERC 0,5 mg/g zalf;0,5 mg/g;CLOBETASOL;Zalf;Uitsluitend recept
CLOBETASOL - 0,5 mg/g - Zalf;Clobetasolpropionaat Eureco-Pharma, zalf, 0,5 mg/g;0,5 mg/g;CLOBETASOL;Zalf;Uitsluitend recept
FLUTICASON/SALMETEROL - 50 microgram/250 microgram/dosis - Inhalatiepoeder;Seretide Diskus 50 microgram/250 microgram/dosis - inhalatiepoeder, voorverdeeld;50 microgram/250 microgram/dosis;FLUTICASON/SALMETEROL;Inhalatiepoeder, voorverdeeld;Uitsluitend recept
MUPIROCINE - 2% - Zalf;Bactroban Huidzalf 2%, hydrofiele zalf 20 mg/g;2%;MUPIROCINE;Zalf;Uitsluitend recept
INDAPAMIDE - 2,5 mg - Omhulde tablet;Indapamide Aurobindo 2,5 mg, omhulde tabletten;2,5 mg;INDAPAMIDE;Omhulde tablet;Uitsluitend recept
SUMATRIPTAN - 50 mg - Dispergeerbare tablet;Imigran FTAB 50, dispergeerbare tabletten 50 mg;50 mg;SUMATRIPTAN;Dispergeerbare tablet;Uitsluitend recept
SUMATRIPTAN - 50 mg - Dispergeerbare tablet;Imigran FTAB 50 mg, dispergeerbare tabletten;50 mg;SUMATRIPTAN;Dispergeerbare tablet;Uitsluitend recept
SIMVASTATINE - 20 mg - Filmomhulde tablet;Zocor 20 mg filmomhulde tabletten;20 mg;SIMVASTATINE;Filmomhulde tablet;Uitsluitend recept
MORFINE - 30 mg - Tablet met verlengde afgifte;MS Contin 30 mg, tabletten met verlengde afgifte;30 mg;MORFINE;Tablet met verlengde afgifte;Uitsluitend recept
OXCARBAZEPINE - 60 mg/ml - Suspensie voor oraal gebruik;Trileptal 60 mg/ml, suspensie voor oraal gebruik;60 mg/ml;OXCARBAZEPINE;Suspensie voor oraal gebruik;Uitsluitend recept
TACROLIMUS - 0,5 mg - Capsule;Prograft 0,5 mg, harde capsules;0,5 mg;TACROLIMUS;Capsule, hard;Uitsluitend recept
TACROLIMUS - 0,5 mg - Capsule;Prograft 0,5 mg capsules, hard;0,5 mg;TACROLIMUS;Capsule, hard;Uitsluitend recept
ASCORBAAT (C6H7O6)-/ASCORBINEZUUR (L-) (E 300)/ (CL-)/ (K+)/ (E 508)/MACROGOL 3350/ (NA+) /ASCORBAAT (E 301)//  (E 514 (I))/ (SO42-) -  - Poeder voor drank;Moviprep Orange, poeder voor drank;;ASCORBAAT (C6H7O6)-/ASCORBINEZUUR (L-) (E 300)/ (CL-)/ (K+)/ (E 508)/MACROGOL 3350/ (NA+) /ASCORBAAT (E 301)//  (E 514 (I))/ (SO42-);Poeder voor drank;Uitsluitend recept
TOBRAMYCINE - 300 mg/5 ml - Verneveloplossing;Tobramycine Steri-Neb 300 mg/5 ml, verneveloplossing;300 mg/5 ml;TOBRAMYCINE;Verneveloplossing;Uitsluitend recept
HYDROCORTISON - 1 mg/g - Emulsie voor cutaan gebruik;Locoid Crelo, emulsie voor cutaan gebruik 1 mg/g;1 mg/g;HYDROCORTISON;Emulsie voor cutaan gebruik;Uitsluitend recept
ALITRETINOÏNE - 30 mg - Capsule;Toctino 30 mg, zachte capsules;30 mg;ALITRETINOÏNE;Capsule, zacht;Uitsluitend recept
AMLODIPINE/INDAPAMIDE /PERINDOPRIL - 5 mg/1,25 mg/5 mg - Filmomhulde tablet;Triplixam 5 mg/1,25 mg/5 mg, filmomhulde tabletten;5 mg/1,25 mg/5 mg;AMLODIPINE/INDAPAMIDE /PERINDOPRIL;Filmomhulde tablet;Uitsluitend recept
CLONIDINE - 0,150 mg/ml - Oplossing voor injectie;Clonidinehydrochloride Eureco-Pharma oplossing voor injectie 0,150 mg/ml;0,150 mg/ml;CLONIDINE;Oplossing voor injectie;Uitsluitend recept
CITROENZUUR  (E 330)/OXIDE, LICHT (E 530)/PICO -  - Poeder voor drank;Picoprep, poeder voor drank;;CITROENZUUR  (E 330)/OXIDE, LICHT (E 530)/PICO;Poeder voor drank;Uitsluitend recept
QUETIAPINE - 200 mg - Filmomhulde tablet;Seroquel 200 mg, filmomhulde tabletten;200 mg;QUETIAPINE;Filmomhulde tablet;Uitsluitend recept
OCTREOTIDE - 30 mg - Poeder en oplosmiddel voor suspensie voor injectie;Sandostatine LAR 30 mg, poeder en oplosmiddel voor suspensie voor injectie;30 mg;OCTREOTIDE;Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
ESOMEPRAZOL - 10 mg - Maagsapresistent granulaat voor orale suspensie;Nexium 10 mg, maagsapresistent granulaat voor orale suspensie;10 mg;ESOMEPRAZOL;Maagsapresistent granulaat voor orale suspensie;Uitsluitend recept
MESALAZINE - 1 g - Zetpil;Colitofalk 1 g, zetpillen;1 g;MESALAZINE;Zetpil;Uitsluitend recept
CICLOSPORINE - 100 mg - Capsule;Ciclosporine Medcor 100 mg, zachte capsules;100 mg;CICLOSPORINE;Capsule, zacht;Uitsluitend recept
TESTOSTERON - 1000 mg/4 ml - Oplossing voor injectie;Nebido 1000 mg/4 ml, oplossing voor injectie;1000 mg/4 ml;TESTOSTERON;Oplossing voor injectie;Uitsluitend recept
METHYLFENIDAAT - 10 mg - Tablet;Methylfenidaat HCl Sandoz 10 mg, tabletten;10 mg;METHYLFENIDAAT;Tablet;Uitsluitend recept
AMLODIPINE/INDAPAMIDE /PERINDOPRIL - 5 mg/1,25 mg/10 mg - Filmomhulde tablet;Triplixam 5 mg/1,25 mg/10 mg, filmomhulde tabletten;5 mg/1,25 mg/10 mg;AMLODIPINE/INDAPAMIDE /PERINDOPRIL;Filmomhulde tablet;Uitsluitend recept
ALITRETINOÏNE - 10 mg - Capsule;Toctino 10 mg, capsules, zacht;10 mg;ALITRETINOÏNE;Capsule, zacht;Uitsluitend recept
ISOSORBIDEMONO - 100 mg - Capsule met gereguleerde afgifte;Isosorbidemononitraat Retard Medcor 100 mg, harde capsules met gereguleerde afgifte;100 mg;ISOSORBIDEMONO;Capsule met gereguleerde afgifte, hard;Uitsluitend recept
ISOSORBIDEMONO - 100 mg - Capsule met verlengde afgifte;Mono-Cedocard Retard 100, capsules met gereguleerde afgifte 100 mg;100 mg;ISOSORBIDEMONO;Capsule met verlengde afgifte, hard;Uitsluitend recept
NADROPARINE - 3.800 IE/ 0,4 ml - Oplossing voor injectie;Fraxiparine 3.800 IE/ 0,4 ml oplossing voor injectie;3.800 IE/ 0,4 ml;NADROPARINE;Oplossing voor injectie;Uitsluitend recept
QUETIAPINE - 200 mg - Tablet met verlengde afgifte;Seroquel XR 200 mg, tabletten met verlengde afgifte;200 mg;QUETIAPINE;Tablet met verlengde afgifte;Uitsluitend recept
CINNARIZINE - 25 mg - Tablet;Etos Reistabletten Cinnarizine 25 mg, Tabletten;25 mg;CINNARIZINE;Tablet;Uitsluitend apotheek of drogist
MESALAZINE - 1000 mg - Granulaat met verlengde afgifte;Salofalk 1000 mg Granu-Stix, granulaat met verlengde afgifte;1000 mg;MESALAZINE;Granulaat met verlengde afgifte;Uitsluitend recept
MESALAZINE - 1000 mg - Maagsapresistent granulaat;Salofalk 1000 mg Granu-Stix, maagsapresistent granulaat met verlengde afgifte;1000 mg;MESALAZINE;Maagsapresistent granulaat;Uitsluitend recept
ACETYLCYSTEÏNE - 200 mg - Orodispergeerbare tablet;Fluimucil 200 mg Pastille, Orodispergeerbare tabletten;200 mg;ACETYLCYSTEÏNE;Orodispergeerbare tablet;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 6 september 2007]
FLUTICASON - 100 microgram/dosis - Inhalatiepoeder;Flixotide Diskus 100 microgram/dosis-inhalatiepoeder, voorverdeeld;100 microgram/dosis;FLUTICASON;Inhalatiepoeder, voorverdeeld;Uitsluitend recept
ESTRIOL - 1 mg/g - Crème voor vaginaal gebruik;Synapause-E3 1 mg/g, vaginale crème;1 mg/g;ESTRIOL;Crème voor vaginaal gebruik;Uitsluitend recept
TRETINOINE - 10 mg - Capsule;Vesanoid, zachte capsules 10 mg;10 mg;TRETINOINE;Capsule, zacht;Uitsluitend recept
"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" - 75.000 SQ-T - Lyofilisaat voor sublinguaal gebruik";GRAZAX, lyofilisaat voor sublinguaal gebruik 75.000 SQ-T;75.000 SQ-T;"TIMOTHEEGRASPOLLENEXTRACT ""ALK""";Lyofilisaat voor sublinguaal gebruik;Uitsluitend recept
"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" -  - Lyofilisaat voor sublinguaal gebruik";GRAZAX 75.0000-SQ-T, lyofilisaat voor sublinguaal gebruik;;"TIMOTHEEGRASPOLLENEXTRACT ""ALK""";Lyofilisaat voor sublinguaal gebruik;Uitsluitend recept
"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" - 75.000 SQ-T - Lyofilisaat voor sublinguaal gebruik";Grazax 75.000 SQ-T, lyofilisaat voor sublinguaal gebruik;75.000 SQ-T;"TIMOTHEEGRASPOLLENEXTRACT ""ALK""";Lyofilisaat voor sublinguaal gebruik;Uitsluitend recept
NITROGLYCERINE - 10 mg/24 uur - Pleister voor transdermaal gebruik;Transiderm-Nitro 10 mg/24 uur, pleister voor transdermaal gebruik;10 mg/24 uur;NITROGLYCERINE;Pleister voor transdermaal gebruik;Uitsluitend recept
BARNIDIPINE - 20 mg - Capsule met gereguleerde afgifte;Barnidipine hydrochloride ERC 20 mg, harde capsules met gereguleerde afgifte;20 mg;BARNIDIPINE;Capsule met gereguleerde afgifte, hard;Uitsluitend recept
BECLOMETASON /FORMOTEROL - 100/6 microgram/dosis - Aërosol;Foster 100/6 microgram/dosis, aerosol, oplossing;100/6 microgram/dosis;BECLOMETASON /FORMOTEROL;Aërosol, oplossing;Uitsluitend recept
BECLOMETASON /FORMOTEROL - 100/6 microgram/dosis - Aërosol;Foster 100/6 microgram/dosis, aërosol, oplossing;100/6 microgram/dosis;BECLOMETASON /FORMOTEROL;Aërosol, oplossing;Uitsluitend recept
CLODRONAAT - 520 mg - Filmomhulde tablet;Ostac 520, filmomhulde tabletten 520 mg;520 mg;CLODRONAAT;Filmomhulde tablet;Uitsluitend recept
CLODRONAAT - 520 mg - Filmomhulde tablet;Ostac 520 mg, filmomhulde tabletten;520 mg;CLODRONAAT;Filmomhulde tablet;Uitsluitend recept
ACICLOVIR - 50 mg/g - Crème;DA Koortslipcrème Aciclovir 50 mg/g, crème;50 mg/g;ACICLOVIR;Crème;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 6 september 2007]
ACICLOVIR - 50 mg/g - Crème;Jumbo Koortslipcrème Aciclovir 50 mg/g, crème;50 mg/g;ACICLOVIR;Crème;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 6 september 2007]
PARACETAMOL - 500 mg - Tablet;Paracetamol Linn 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
VENLAFAXINE - 150 mg - Capsule met verlengde afgifte;Efexor XR 150, harde capsules met verlengde afgifte, 150 mg;150 mg;VENLAFAXINE;Capsule met verlengde afgifte, hard;Uitsluitend recept
VENLAFAXINE - 150 mg - Capsule met verlengde afgifte;Efexor XR 150, capsules met verlengde afgifte, hard, 150 mg;150 mg;VENLAFAXINE;Capsule met verlengde afgifte, hard;Uitsluitend recept
DUTASTERIDE/TAMSULOSINE - 0,5 mg/0,4 mg - Capsule;Combodart 0,5 mg/0,4 mg, harde capsules;0,5 mg/0,4 mg;DUTASTERIDE/TAMSULOSINE;Capsule, hard;Uitsluitend recept
MICONAZOL - 20 mg/g - Crème;miconazolnitraat antischimmelcrème Sanias 20 mg/g, hydrofiele crème;20 mg/g;MICONAZOL;Crème;Uitsluitend apotheek of drogist
DEXAMFETAMINE/LISDEXAMFETAMINE - 70 mg - Capsule;Elvanse 70 mg, harde capsules;70 mg;DEXAMFETAMINE/LISDEXAMFETAMINE;Capsule, hard;Uitsluitend recept
METHYLFENIDAAT - 30 mg - Capsule met gereguleerde afgifte;Equasym  XL 30 mg, capsules met gereguleerde afgifte;30 mg;METHYLFENIDAAT;Capsule met gereguleerde afgifte, hard;Uitsluitend recept
ISONIAZIDE/RIFAMPICINE - 300 mg/150 mg - Filmomhulde tablet;Rifinah 300 mg/150 mg, filmomhulde tabletten;300 mg/150 mg;ISONIAZIDE/RIFAMPICINE;Filmomhulde tablet;Uitsluitend recept
ISONIAZIDE/RIFAMPICINE - 300 mg/150 mg - Omhulde tablet;Rifinah 300 mg/150 mg, filmomhulde tablet;300 mg/150 mg;ISONIAZIDE/RIFAMPICINE;Omhulde tablet;Uitsluitend recept
FLUTICASON - 250 microgram/dosis - Inhalatiepoeder;Flixotide Diskus 250 microgram/dosis-inhalatiepoeder, voorverdeeld;250 microgram/dosis;FLUTICASON;Inhalatiepoeder, voorverdeeld;Uitsluitend recept
MESALAZINE - 1200 mg - Maagsapresistente tablet;Mesalazine BModesto 1200 mg, maagsapresistente tabletten met verlengde afgifte;1200 mg;MESALAZINE;Maagsapresistente tablet;Uitsluitend recept
FLUTICASON - 0,5 mg/2 ml - Vernevelsuspensie;Flixotide 500 nebules, vernevelsuspensie 0,5 mg/2 ml;0,5 mg/2 ml;FLUTICASON;Vernevelsuspensie;Uitsluitend recept
TAFLUPROST - 15 microgram/ml - Oogdruppels;Saflutan 15 microgram/ml, oogdruppels, oplossing, verpakking voor eenmalig gebruik;15 microgram/ml;TAFLUPROST;Oogdruppels, oplossing;Uitsluitend recept
TINZAPARINE - 18.000 IE - Oplossing voor injectie;Innohep 18.000 IE anti-Xa/0,9 ml, oplossing voor injectie;18.000 IE;TINZAPARINE;Oplossing voor injectie;Uitsluitend recept
DANTROLEEN - 20 mg - Poeder voor oplossing voor injectie;Dantrium IV, poeder voor injectievloeistof 20 mg;20 mg;DANTROLEEN;Poeder voor oplossing voor injectie;Uitsluitend recept
ASCORBINEZUUR (L-) (E 300)/PARACETAMOL - 500/50 mg - Poeder voor drank;Trekpleister Paracetamol/Vitamine C 500/50 mg, poeder voor drank met citroensmaak;500/50 mg;ASCORBINEZUUR (L-) (E 300)/PARACETAMOL;Poeder voor drank;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
METHYLPREDNISOLON - 500 mg - Poeder voor oplossing voor infusie;Methylprednisolon Eureco-Pharma poeder voor oplossing voor infusie, 500 mg;500 mg;METHYLPREDNISOLON;Poeder voor oplossing voor infusie;Uitsluitend recept
ESTRADIOL - 0,75 mg/dosis - Gel voor transdermaal gebruik;Oestrogel 0,75 mg/dosis, transdermale gel;0,75 mg/dosis;ESTRADIOL;Gel voor transdermaal gebruik;Uitsluitend recept
FENTANYL - 100 µg/uur - Pleister voor transdermaal gebruik;Durogesic 100 µg/uur, pleisters voor transdermaal gebruik;100 µg/uur;FENTANYL;Pleister voor transdermaal gebruik;Uitsluitend recept
MEBENDAZOL - 100 mg - Tablet;Albert Heijn Wormkuurtabletten Mebendazol 100 mg, tabletten;100 mg;MEBENDAZOL;Tablet;Uitsluitend apotheek of drogist
ONDANSETRON - 4 mg/5 ml - Stroop;Ondansetron Eureco-Pharma stroop 4 mg/5 ml;4 mg/5 ml;ONDANSETRON;Stroop;Uitsluitend recept
ONDANSETRON - 4 mg/5 ml - Stroop;Zofran 4 mg/5 ml, stroop;4 mg/5 ml;ONDANSETRON;Stroop;Uitsluitend recept
ROCURONIUM - 10 mg/ml - Oplossing voor injectie;Rocuroniumbromide ERC 10 mg/ml, oplossing voor injectie/infusie;10 mg/ml;ROCURONIUM;Oplossing voor injectie, Oplossing voor infusie;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL - 25.000 IE - Drank;D-Cure 25.000 IE, drank;25.000 IE;CHOLECALCIFEROL/CHOLECALCIFEROL;Drank;Uitsluitend recept
PARACETAMOL - 120 mg - Kauwtablet;Trekpleister Kinderparacetamol 120 mg, kauwtabletten;120 mg;PARACETAMOL;Kauwtablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 16 eenheden - UAD maximaal 16 eenheden - AV maximaal 10 eenheden
KETOCONAZOL - 20 mg/g - Crème;Nizoral crème 20 mg/g, crème;20 mg/g;KETOCONAZOL;Crème;Uitsluitend recept
HALOPERIDOL - 5 mg/ml - Oplossing voor injectie;Haldol 5 mg/ml, oplossing voor injectie;5 mg/ml;HALOPERIDOL;Oplossing voor injectie;Uitsluitend recept
HALOPERIDOL - 5 mg/ml - Oplossing voor injectie;Haldol oplossing voor injectie 5 mg/ml, oplossing voor injectie;5 mg/ml;HALOPERIDOL;Oplossing voor injectie;Uitsluitend recept
LEUPRORELINE - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie;Leuproreline-acetaat ERC PDS Depot 3 maanden 11,25 mg, poeder en oplosmiddel voor suspensie voor injectie;11,25 mg;LEUPRORELINE;Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
LIDOCAINE - 20 mg/g - Gel voor urethraal gebruik;Xylocaine 20 mg/g gel, katheterslijm;20 mg/g;LIDOCAINE;Gel voor urethraal gebruik;Uitsluitend recept
AMISULPRIDE - 400 mg - Tablet;Aktiprol 400 mg tabletten;400 mg;AMISULPRIDE;Tablet;Uitsluitend recept
AMISULPRIDE - 400 mg - Filmomhulde tablet;Amisulpride Medcor 400 mg, filmomhulde tabletten;400 mg;AMISULPRIDE;Filmomhulde tablet;Uitsluitend recept
PODOPHYLLOTOXINE - 5 mg/ml - Vloeistof voor cutaan gebruik;Condyline 5 mg/ml, applicatievloeistof;5 mg/ml;PODOPHYLLOTOXINE;Vloeistof voor cutaan gebruik;Uitsluitend recept
ZILVERSULFADIAZINE - 10 mg/g - Crème;Zilversulfadiazine Sandoz 10 mg/g, crème;10 mg/g;ZILVERSULFADIAZINE;Crème;Uitsluitend recept
ASCORBAAT (C6H7O6)-/ASCORBINEZUUR (L-) (E 300)/ (CL-)/ (CL-)/ (K+)/ (K+)/ (E 508)/ (E 508)/MACROGOL 3350/MACROGOL 3350/ (NA+) / (NA+) /ASCORBAAT (E 301)///  (E 514 (I))/ (SO42-) -  - Poeder voor drank;Pleinvue poeder voor drank;;ASCORBAAT (C6H7O6)-/ASCORBINEZUUR (L-) (E 300)/ (CL-)/ (CL-)/ (K+)/ (K+)/ (E 508)/ (E 508)/MACROGOL 3350/MACROGOL 3350/ (NA+) / (NA+) /ASCORBAAT (E 301)///  (E 514 (I))/ (SO42-);Poeder voor drank;Uitsluitend recept
VALPROAAT/VALPROAAT/VALPROÏNEZUUR - 500 mg - Tablet met gereguleerde afgifte;Depakine Chrono 500 mg, tabletten met gereguleerde afgifte;500 mg;VALPROAAT/VALPROAAT/VALPROÏNEZUUR;Tablet met gereguleerde afgifte;Uitsluitend recept
FENTANYL - 600 microgram - Tablet voor sublinguaal gebruik;Abstral 600 microgram, tabletten voor sublinguaal gebruik;600 microgram;FENTANYL;Tablet voor sublinguaal gebruik;Uitsluitend recept
PARACETAMOL - 500 mg - Tablet;Trekpleister Paracetamol 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
XYLOMETAZOLINE - 0,5 mg/ml - Neusspray;Leidapharm Xylometazoline HCl neusspray 0,5 mg/ml, neusspray, oplossing;0,5 mg/ml;XYLOMETAZOLINE;Neusspray, oplossing;Uitsluitend apotheek of drogist
EXTRACT VAN HET GIF VAN APIS MELLIFERA - 100.000 SQ-E/ml - Suspensie voor injectie;Alutard SQ Bijengif 100.000 SQ-E/ml, suspensie voor injectie;100.000 SQ-E/ml;EXTRACT VAN HET GIF VAN APIS MELLIFERA;Suspensie voor injectie;Uitsluitend recept
GLICLAZIDE - 80 mg - Tablet met gereguleerde afgifte;Gliclazide Aurobindo 80 mg, tabletten met gereguleerde afgifte;80 mg;GLICLAZIDE;Tablet met gereguleerde afgifte;Uitsluitend recept
FLUTICASON - 50 microgram/dosis - Aërosol;Flixotide 50 Inhalator CFK-vrij, aërosol, suspensie 50 microgram/dosis;50 microgram/dosis;FLUTICASON;Aërosol, suspensie;Uitsluitend recept
ZOFENOPRIL - 7,5 mg - Filmomhulde tablet;Zofil 7,5 mg filmomhulde tabletten;7,5 mg;ZOFENOPRIL;Filmomhulde tablet;Uitsluitend recept
VERAPAMIL - 2,5 mg/ml - Oplossing voor injectie;Verapamil HCI Eureco-Pharma 2,5 mg/ml, oplossing voor injectie;2,5 mg/ml;VERAPAMIL;Oplossing voor injectie;Uitsluitend recept
OXCARBAZEPINE - 600 mg - Filmomhulde tablet;Trileptal 600 mg, filmomhulde tabletten;600 mg;OXCARBAZEPINE;Filmomhulde tablet;Uitsluitend recept
COLISTIMETHAAT  (Component A en B)/COLISTIMETHAAT  (Component A en B) -  - Poeder voor oplossing voor infusie;Colistimethaatnatrium Eureco-Pharma 1 miljoen internatioale eenheden (IE), poeder voor oplossing voor infusie;;COLISTIMETHAAT  (Component A en B)/COLISTIMETHAAT  (Component A en B);Poeder voor oplossing voor infusie;Uitsluitend recept
LEUPRORELINE - 22,5 mg - Poeder en oplosmiddel voor oplossing voor injectie;Eligard 22,5 mg poeder en oplosmiddel voor oplossing voor injectie;22,5 mg;LEUPRORELINE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
LEUPRORELINE - 45 mg - Poeder en oplosmiddel voor oplossing voor injectie;Eligard 45 mg, poeder en oplosmiddel voor oplossing voor injectie;45 mg;LEUPRORELINE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ETONOGESTREL - 68 mg - Implantaat;Implanon NXT, 68 mg implantaat voor subdermaal gebruik;68 mg;ETONOGESTREL;Implantaat;Uitsluitend recept
PILOCARPINE - 5 mg - Filmomhulde tablet;Salagen 5 mg, filmomhulde tabletten;5 mg;PILOCARPINE;Filmomhulde tablet;Uitsluitend recept
LANREOTIDE - 90 mg - Oplossing voor injectie;Somatuline AutoSolution 90 mg, oplossing voor injectie in een voorgevulde spuit;90 mg;LANREOTIDE;Oplossing voor injectie;Uitsluitend recept
MINOXIDIL - 10 mg - Tablet;Minoxidil Medcor, tabletten 10 mg;10 mg;MINOXIDIL;Tablet;Uitsluitend recept
DISULFIRAM - 400 mg - Bruistablet;Antabus dispergetten 400 mg, bruistabletten;400 mg;DISULFIRAM;Bruistablet;Uitsluitend recept
ZOPICLON - 7,5 mg - Omhulde tablet;Zopiclon Teva 7,5 mg, omhulde tabletten;7,5 mg;ZOPICLON;Omhulde tablet;Uitsluitend recept
IVERMECTINE - 10 mg/g - Crème;Soolantra 10 mg/g crème;10 mg/g;IVERMECTINE;Crème;Uitsluitend recept
PROGESTERON - 400 mg - Ovule;Cyclogest 400 mg, ovule;400 mg;PROGESTERON;Ovule;Uitsluitend recept
